Name,Cuisine,Location,Service Method,Does Curbside Pick-Up?,Address,City,Zip Code,Region,Hours,Phone,Website,details
The Dorian,American,Marina (S.F.),Delivery & Takeout,No,2032 Union St.,San Francisco,N/A,San Francisco,11:30 a.m.-8:30 p.m. daily,415-814-2671,www.doriansf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Farmer’s Wife,"Californian, Sandwiches",Sebastopol,Takeout,Yes,6760 McKinley St.,Sebastopol,N/A,North Bay,11 a.m.-6 p.m. Monday-Friday,707-292-1303,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Fat Lady Restaurant and Bar,American,Oakland,Delivery & Takeout,Yes,201 Washington St.,Oakland,N/A,East Bay,11 a.m.-7:30 p.m. Tuesday-Sunday,510-465-4996,www.thefatladyrestaurant.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Flying Falafel,"Mediterranean, Vegan",SoMa (S.F.),Delivery & Takeout,Yes,1051 Market St.,San Francisco,N/A,San Francisco,11 a.m.-6 p.m. Monday-Friday,415-964-1003,www.flyingfalafel.com,Order online.,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Flying Falafel (Berkeley),"Mediterranean, Vegan",Berkeley,Delivery & Takeout,Yes,2114 Shattuck Ave.,Berkeley,N/A,East Bay,11 a.m.-6:30 p.m. Monday-Saturday,510-560-3393,www.flyingfalafel.com,Order online.,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Front Porch,Southern,Bernal Heights (S.F.),Delivery & Takeout,No,65a 29th St.,San Francicso,N/A,San Francisco,10 a.m.-3:30 p.m. Thursday-Sunday; 5-9:30 p.m. Tuesday-Sunday,415-695-7800,http://frontporch.alohaorderonline.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Gallery Cafe,American,Nob Hill (S.F.),Takeout,No,1200 Mason St.,San Francisco,N/A,San Francisco,7 a.m.-5 p.m. daily,650-771-7942,www.gallerycafesf.com,Call ahead or just drop in.,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Game Parlour,Sandwiches,Sunset (S.F.),Delivery & Takeout,Yes,1342 Irving St.,San Francisco,N/A,San Francisco,11 a.m.-6 p.m. Monday-Thursday; 11 a.m.-7 p.m. Friday-Saturday; 11 a.m.-5 p.m Sunday,415-571-8569,www.thegameparlour.com/menu,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Gold Mirror,Italian,Sunset (S.F.),Delivery & Takeout,No,800 Taraval St.,San Francisco,N/A,San Francisco,Noon-10 p.m. daily,415-564-0401,www.goldmirrorsf.com/,pick-up at side door.,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Golden Squirrel,American,Rockridge (Oak),Delivery & Takeout,No,5940 College Ave.,Oakland,N/A,East Bay,3-9 p.m. daily,510-735-9220,www.goldensquirrelpub.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Great Impasta,Homemade Italian Comfort Food,Danville,Delivery & Takeout,No,318 Sycamore Valley Rd. W,Danville,N/A,East Bay,11 a.m.-6 p.m. daily,925-831-9363,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Hero Ranch Kitchen,American,Saratoga,Delivery & Takeout,No,14583 Big Basin Way #1A,Saratoga,N/A,South Bay,4-8 p.m. Wednesday-Sunday,669-267-3183,www.theheroranchkitchen.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Hugh Groman Group,"American, European",Berkeley,Delivery,No,Dwight Way,Berkeley,N/A,East Bay,Deliveries between 2-5 p.m.,510-647-5165,http://greenleaf.myshopify.com/collections/meal-delivery-special-march-23-march-29-menu-options,"Requires 3 day's notice, $160 minimum. Includes Hugh Groman Catering, Greenleaf Platters and Phil's Sliders Catering.",https://projects.sfchronicle.com/2020/restaurant-delivery/
The Italian Homemade Company,Italian,North Beach (S.F.),Delivery & Takeout,Yes,716 Columbus Ave.,San Francisco,N/A,San Francisco,11 a.m.-9 p.m. daily,415-712-8874,www.italianhomemade.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Junket,German,El Cerrito,Takeout,No,235 El Cerrito Plaza,El Cerrito,N/A,East Bay,10 a.m.-3 p.m. Monday-Saturday,510-524-4622,www.thejunket.com/,Order in-store for takeout and groceries,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Kitchen Table,Italian,San Rafael,Takeout,No,1574 4th St.,San Rafael,N/A,North Bay,3:30-8 p.m. Tuesday-Saturday,415-521-5568,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Kon-Tiki,American,Oakland,Takeout,No,347 14th St. #3906,Oakland,N/A,East Bay,5-9 p.m. daily,510-823-2332,www.thekon-tiki.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Liberties Bar and Restaurant,Gastropub,Mission (S.F.),Delivery & Takeout,No,998 Guerrero St.,San Francisco,N/A,San Francisco,11 a.m.-10 p.m. daily,415-282-6789,www.theliberties.com,"Through the website, Facebook page, or Uber Eats.",https://projects.sfchronicle.com/2020/restaurant-delivery/
The Little Chihuahua,Mexican,Lower Haight (S.F.),Delivery & Takeout,No,292 Divisadero St.,San Francisco,N/A,San Francisco,11 a.m.-8 p.m. daily,415-255-8225,www.thelittlechihuahua.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Little Chihuahua,Mexican,Noe Valley (S.F.),Delivery & Takeout,No,4123 24th St.,San Francisco,N/A,San Francisco,11 a.m.-8 p.m. daily,415-648-4157,www.thelittlechihuahua.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Little Chihuahua,Mexican,Mission (S.F.),Delivery & Takeout,No,581 Valencia St.,San Francisco,N/A,San Francisco,11 a.m.-8 p.m. daily,415-355-9144,www.thelittlechihuahua.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Little Chihuahua,Mexican,Nob Hill (S.F.),Delivery & Takeout,No,1431 Polk St.,San Francisco,N/A,San Francisco,11 a.m.-8 p.m. daily,415-796-3600,www.thelittlechihuahua.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Local Butcher Shop,Butcher,Berkeley,Delivery & Takeout,No,"1600 Shattuck Ave., Ste. 120",Berkeley,N/A,East Bay,10 a.m.-7 p.m. Tuesday-Friday; 10 a.m.-6 p.m. Saturday-Monday,510-845-6328,www.thelocalbutchershop.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Lodge,American,Fairfax,Takeout,No,1573 Sir Francis Drake Blvd.,Fairfax,N/A,North Bay,"9 a.m.-2 p.m., 4-8 p.m. Tuesday-Sunday",415-991-5625,www.thelodgefairfax.com,Text pickup orders to 415-295-6482 and indicate curbside pickup if desired. Text when you arrive.,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Melt,American,SoMa (S.F),Delivery & Takeout,No,925 Market St.,San Francisco,N/A,San Francisco,10 a.m.-midnight Monday-Saturday; 11 a.m.-11 p.m. Sunday,415-689-5879,www.themelt.com/locations,Free delivery for all UberEats and first time DoorDash orders.,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Melt,American,Palo Alto,Takeout,No,660 Stanford Shopping Center,Palo Alto,N/A,Peninsula,10:30 a.m.-10 p.m. daily,650-461-4450,www.themelt.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Mill,Bakery,NoPa (S.F.),Takeout,No,736 Divisadero St.,San Francisco,N/A,San Francisco,8 a.m.-2 p.m. daily,415-345-1953,www.themillsf.com,Bread and coffee only.,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Morris,American,Mission (S.F.),Delivery & Takeout,No,2501 Mariposa St.,San Francisco,N/A,San Francisco,Dinner Monday-Saturday,415-612-8480,www.themorris-sf.com,Call or email info@themorris-sf.com to order. Give the kitchen two hours' notice for the smoked duck.,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Napper Tandy,"Irish, American",Mission (S.F.),Delivery & Takeout,No,3200 24th St.,San Francisco,N/A,San Francisco,11 a.m.-8 p.m. daily,650-533-0203,www.thenappertandysf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The New Spot On Polk,American,Russian Hill (S.F.),Delivery & Takeout,No,2401 Polk St.,San Francisco,N/A,San Francisco,8 a.m.-8 p.m. Friday-Tuesday; 8 a.m.-2 p.m. Wednesday-Thursday,415-519-4460,www.toasttab.com/thenewspotonpolk/v3,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Noodle House,Thai,Lake Merced (S.F.),Delivery & Takeout,No,1507 Sloat Blvd. (in Lakeshore Plaza),San Francisco,N/A,San Francisco,11 a.m.-9 p.m. daily,415-566-9921,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Palms,Pan-Asian,Los Gatos,Takeout,No,115 North Santa Cruz Ave.,Los Gatos,N/A,South Bay,4-7:30 p.m. daily,408-402-3811,www.thepalms95030.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Pig and Whistle,"British, American",Richmond (S.F.),Takeout,No,2801 Geary Blvd.,San Francisco,N/A,San Francisco,11.30 a.m.-10 p.m. daily,415-885-4779,www.pig-and-whistle.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Secret Lab,Argentinian,San Francisco,Delivery & Takeout,No,N/A,San Francisco,N/A,San Francisco,"All day, every day",415-864-8855,www.instagram.com/the.secret.lab,"Beef or vegetable empanadas, $35 per dozen.",https://projects.sfchronicle.com/2020/restaurant-delivery/
The Spice Jar,Asian,Mission (S.F.),Delivery & Takeout,No,2500 Bryant St.,San Francisco,N/A,San Francisco,12:30-8:30 p.m. Tuesday-Friday; 5-9 p.m. Saturday and Sunday,415-829-3668,www.thespicejarsf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Thonglor Thai Restaurant,Thai,Lower Nob Hill (S.F.),Delivery & Takeout,Yes,420 Geary St.,San Francisco,N/A,San Francisco,11 a.m.-11 p.m. daily,415-346-3121,www.thonglorsf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Trident,Seafood,Sausalito,Takeout,Yes,558 Bridgeway,Sausalito,N/A,North Bay,Noon-7 p.m. daily,415-331-3232,www.thetrident.net/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Village Bakery and Pub,American,Woodside,Delivery & Takeout,No,3052 Woodside Rd.,Woodside,N/A,Peninsula,4-8 p.m. daily,650-851-5555,www.thevillagebakery.com,"Special nightly menu on DoorDash, offering delivery and pick-up.",https://projects.sfchronicle.com/2020/restaurant-delivery/
The Xocolate Bar,Confectionary,Berkeley,Delivery & Takeout,No,1709 Solano Ave.,Berkeley,N/A,Berkeley,10 a.m.-6 p.m. Tuesday-Sunday,510-525-9626,www.xocobar.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Thinkers Cafe,Coffee,Potrero Hill (S.F.),Takeout,No,1631 20th St.,San Francisco,N/A,San Francisco,7 a.m.-2 p.m. daily,415-285-8294,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Third Cousin,Californian,Bernal Heights (S.F.),Delivery & Takeout,Yes,919 Cortland Ave.,San Francisco,N/A,San Francisco,5-8 p.m. Thursday-Saturday,415-814-3709,www.3rdcousinsf.com,Place your order 1 hour before pickup or delivery.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Third Culture Bakery,Bakery,Berkeley,Takeout,No,2701 Eighth St.,Berkeley,N/A,East Bay,10 a.m.-2 p.m. daily,N/A,www.thirdculturebakery.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Thistle Meats,Butcher,Petaluma,Delivery & Takeout,Yes,160 Petaluma Blvd. North,Petaluma,N/A,North Bay,11 a.m.-5 p.m. Wednesday-Sunday,707-772-5442,www.thistlemeats.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Three Babes Bakeshop,Bakery,Bayview (S.F.),Delivery & Takeout,No,2501 Phelps St.,San Francisco,N/A,San Francisco,8 a.m.-4:30 p.m. daily,415-617-9774,www.threebabesbakeshop.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Three Brothers From China,Chinese,Pleasant Hill,Delivery & Takeout,No,2001 Contra Costa Blvd.,Pleasant Hill,N/A,East Bay,11 a.m.-9:30 p.m. daily,925-671-6888,www.threebrothersfromchina.com/home/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Three Pigs,BBQ,San Mateo,Delivery & Takeout,No,11 South B St.,San Mateo,N/A,Peninsula,Dinner Wednesday-Sunday,650-389-6389,www.3pigbbq.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Tilak,Indian,Bernal Heights (S.F.),Delivery & Takeout,No,3501 Mission St.,San Francisco,N/A,San Francisco,"10 a.m.-2 p.m, 5-10 p.m. Wednesday-Monday",415-647-4037,www.tilaksf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Tin Vietnamese Cuisine,Vietnamese,SoMa (S.F.),Delivery & Takeout,Yes,937 Howard St.,San Francisco,N/A,San Francisco,"11:30 a.m.-3 p.m., 5:30-10 p.m. Monday-Saturday",415-882-7188,www.tinsf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Toast,American,Novato,Takeout,Yes,5800 Nave Dr. Ste. G,Novato,N/A,North Bay,11 a.m.-7 p.m. daily,415-382-1144,www.toastnovato.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Toma,Mexican,Marina (S.F.),Delivery & Takeout,Yes,3318 Steiner st.,San Francisco,N/A,San Francisco,11 a.m.-7 p.m. Tuesday-Sunday,415-921-8662,www.tomasf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Tommaso's,Italian,Jackson Square (S.F.),Delivery & Takeout,No,1042 Kearny St.,San Francisco,N/A,San Francisco,11:30 a.m.-8:30 p.m. Tuesday-Sunday,415-398-9696,www.tommasos.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Tommy's Mexican Restauarnt,Mexican,Richmond (S.F.),Takeout,No,5929 Geary Blvd.,San Francisco,N/A,San Francisco,Noon-7 p.m. Wednesday-Monday,415-387-4747,N/A,Must call in and pick-up. Margaritas available with a food purchase.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Tommy’s Joynt,American,Tenderloin (S.F.),Delivery & Takeout,No,1101 Geary Blvd.,San Francisco,N/A,San Francisco,11 a.m.-7 p.m. daily,415-775-4216,www.tommysjoynt.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Ton Kiang,"Chinese, Dim Sum",Richmond (S.F.),Delivery & Takeout,No,5821 Geary Blvd,San Francisco,N/A,San Francisco,10:30 a.m.-7:30 p.m. Thursday-Tuesday,415-752-4440,www.tonkiangsf.us,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Tony & Alba's Pizza,Pizza,San Jose,Delivery & Takeout,Yes,3137 Stevens Creek Blvd.,San Jose,N/A,South Bay,11 a.m.-9 p.m. Tuesday-Sunday,408-246-4605,www.tonyandalbaspizza.com,Free pizza and salad for seniors 70 years or older,https://projects.sfchronicle.com/2020/restaurant-delivery/
Tony Caters To Go,American,San Jose,Delivery & Takeout,No,5202 N 1st St.,South Bay,N/A,San Jose,11 a.m.-4 p.m. Tuesday,408-263-4366 ext-700,www.tonycaterstoyou.com/,"For delivery, please add a $10 delivery fee to your order. If your delivery address is different from your billing address, please include delivery address in the notes of your order. For pick-up, please add \'Pick-Up\' in the notes of your order.",https://projects.sfchronicle.com/2020/restaurant-delivery/
Tony's Pizza Napoletana,"Italian, Pizza",North Beach (S.F.),Delivery & Takeout,Yes,1570 Stockton St.,San Francisco,N/A,San Francisco,11:30 a.m.-10 p.m. Wednesday-Sunday; Noon-8 p.m. Monday,415-835-9888,www.tonyspizzanapoletana.com/,Cashless.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Top Hatters Kitchen,California,San Leandro,Takeout,No,855 MacArthur Blvd.,San Leandro,N/A,East Bay,Dinner Tuesday-Sunday,510-777-9777,www.tophatterskitchen.com,Text your order.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Town Bakery Cafe,Bakery,Morega,Takeout,No,337 Rheem Blvd.,Morega,N/A,East Bay,8 a.m.-8 p.m. Wednesday-Monday,925-301-6230,www.townbakerycafe.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Town of Dumpling,Chinese,San Mateo,Takeout,No,29 Laurie Meadows,San Mateo,N/A,Peninsula,11:30 a.m.-9:30 p.m. Thursday-Tuesday,650-349-3066,www.townofdumplingca.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Trattoria da Vittorio,Italian,West Portal (S.F),Delivery & Takeout,Yes,150 West Portal Ave.,San Francisco,N/A,San Francisco,5-9 p.m. daily,415-742-0300,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Trattoria Fresco,Italian,Ross,Takeout,No,9 Ross Common,Ross,N/A,North Bay,5-8:30 p.m. Monday-Saturday,415-464-0915,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Triple Rock Brewery,American,Berkeley,Takeout,No,1920 Shattuck Ave.,Berkeley,N/A,East Bay,11:30 a.m.-8 p.m. daily,510-843-2739,www.triplerock.com/,Call ahead to order.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Troya Mediterranean Restaurant,Mediterranean,Pacific Heights (S.F.),Delivery & Takeout,Yes,2125 Fillmore St.,San Francisco,N/A,San Francisco,Noon-8 p.m. daily,415-563-1000,www.troyasf.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
True Laurel,Californian,Mission (S.F.),Takeout,Yes,753 Alabama St.,San Francisco,N/A,San Francisco,3-8 p.m. Wednesday-Sunday,415-341-0020,www.truelaurelsf.com/,"Daily changing menu available, listed on website and instagram. Beverages to-go also available including: specialty cocktails, beer, under $30 wine bottles, non-alcoholic \'free spirits.\'",https://projects.sfchronicle.com/2020/restaurant-delivery/
Trueburger,American,Uptown (Oak),Delivery & Takeout,No,4101 Broadway,Oakland,N/A,East Bay,11 a.m.-8 p.m. daily,510-883-8808,www.trueburgeroakland.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Trueburger,American,Oakland,Delivery & Takeout,No,146 Grand Ave.,Oakland,N/A,East Bay,11 a.m.-8 p.m. daily,510-208-5678,www.trueburgeroakland.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Tselogs,Filipino,Mission (S.F.),Delivery & Takeout,No,518 South Van Ness Ave.,San Francisco,N/A,San Francisco,11 a.m.-3 p.m. daily,415-872-9003,www.tselogs.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Tselogs,Filipino,Union Square (S.F.),Delivery & Takeout,No,552 Jones St.,San Francisco,N/A,San Francisco,5 p.m.-midnight daily,415-658-7142,www.tselogs.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Tselogs,Filipino,Colma,Delivery & Takeout,No,11 B San Pedro Rd.,Colma,N/A,Peninsula,9 a.m.-midnight daily,415-867-0092,www.tselogs.com,$50 minimum for delivery,https://projects.sfchronicle.com/2020/restaurant-delivery/
Twin Peaks Pizza,Italian,Noe Valley (S.F.),Delivery & Takeout,No,1681 Church St.,San Francisco,N/A,San Francisco,Noon.-10 p.m. daily,415-695-9200,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Uchiwa Ramen,Pan-Asian,San Rafael,Delivery & Takeout,Yes,821 B St.,San Rafael,N/A,North Bay,"11:30 a.m.-1:30 p.m., 5:30-8 p.m. Monday-Saturday",415-524-2727,www.uchiwaramen.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Udon Mugizo,Japanese,Japantown (S.F.),Delivery & Takeout,No,"1581 Webster St., #217",San Francisco,N/A,San Francisco,"11:30 a.m.-2 p.m., 5:30-9:30 p.m. daily",415-931-3118,www.mugizo-us.com/#main,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Udon Underground,Japanese,FiDi (S.F.),Takeout,Yes,493 Pine St.,San Francisco,N/A,San Francisco,11:30 a.m.-7 p.m. Monday-Friday,415-999-2503,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Uji Time,Dessert,Japantown (S.F.),Takeout,No,"22 Peace Plaza, #440",San Francisco,N/A,San Francisco,12:30-8 p.m. daily,628-444-3003,www.ujitimedessert.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
UJI Time Desserts,Desserts,Japantown (S.F.),Takeout,No,"Japan Center East Mall, 22 Peace Plaza, #440",San Francisco,N/A,San Francisco,"12:30-6p, Friday-Sunday",628-444-3003,http://ujitime.square.site/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Uma Casa,Portuguese,Noe Valley (S.F.),Delivery & Takeout,No,1550 Church St.,San Francisco,N/A,San Francisco,"11:30 a.m.-2 p.m., 5-8 p.m. Tuesday-Saturday",415-829-2264,www.umacasarestaurant.com/take-out-pick-up-menus,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Umami Cafe,Japanese,Oakland,Takeout,No,25 Grand Ave.,Oakland,N/A,East Bay,10 a.m.-2 p.m. Monday-Saturday,510-350-7277,www.cafeumami.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Uncle Vito's Pizza,"Italian, Pizza",Nob Hill (S.F.),Delivery & Takeout,No,700 Bush St.,San Francisco,N/A,San Francisco,Noon-9 p.m. Monday-Saturday; 4-9 p.m. Sunday,415-391-5008,www.unclevitos.com/menu.html,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
UnderdogsToo,Mexican,Sunset (S.F.),Delivery & Takeout,No,3600 Taraval St.,San Francisco,N/A,San Francisco,11:30 a.m-9 p.m. daily,415-759-8112,www.underdogstoo.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
